COUNTRY,population_growth_rate_raw,infant_mortality_raw,g_norm,m_norm,DPI_R
ALBANIA,0.0019,10.54,0.0815450643776824,0.46358974358974353,14.346635835905369
ANDORRA,0.0011,3.39,0.04721030042918455,0.09692307692307693,1.4611251026052612
AUSTRALIA,0.0119,2.96,0.5107296137339056,0.07487179487179486,16.45122233197414
AUSTRIA,0.0031,3.2,0.13304721030042918,0.08717948717948719,2.8084823150065965
BELARUS,0.0032,3.23,0.13733905579399142,0.08871794871794872,2.933110689390623
BELGIUM,0.0055,3.15,0.23605150214592271,0.0846153846153846,5.532041661888842
BOSNIA AND HERZEGOVINA,0.0023,5.1,0.09871244635193133,0.1846153846153846,4.304070625156655
BULGARIA,0.0066,7.82,0.2832618025751073,0.3241025641025641,14.31652727636206
CANADA,0.0073,4.31,0.3133047210300429,0.14410256410256408,9.506402990712132
CHINA,0.0018,6.49,0.07725321888412016,0.2558974358974359,6.0286255779899385
CROATIA,0.0047,8.58,0.2017167381974249,0.3630769230769231,13.102464362712324
CZECHIA,0.0,2.37,0.0,0.04461538461538462,0.31073340195469334
DENMARK,0.0044,3.0,0.1888412017167382,0.07692307692307693,4.013960083447656
ESTONIA,0.0074,3.38,0.31759656652360513,0.0964102564102564,8.553801805182621
FINLAND,0.0022,2.11,0.0944206008583691,0.031282051282051276,1.2367505257440223
FRANCE,0.0012,2.4,0.051502145922746774,0.04615384615384615,0.7427847172352561
GERMANY,0.0012,3.14,0.051502145922746774,0.08410256410256411,1.2911301779363544
GREECE,0.0035,3.49,0.1502145922746781,0.10205128205128207,3.488435211930469
GREENLAND,0.0004,8.6,0.017167381974248927,0.3641025641025641,9.066481587355407
HUNGARY,0.0031,4.55,0.13304721030042918,0.1564102564102564,4.305292919543848
ICELAND,0.0089,1.63,0.38197424892703863,0.006666666666666661,9.688967125522264
IRELAND,0.0091,3.41,0.3905579399141631,0.09794871794871796,11.473936720199399
ITALY,0.0011,3.11,0.04721030042918455,0.08256410256410256,1.2110436350714673
JAPAN,0.0041,1.88,0.1759656652360515,0.01948717948717948,2.9087415569549413
"KOREA, SOUTH",0.0023,2.83,0.09871244635193133,0.06820512820512821,1.7872812063382106
KOSOVO,0.0073,21.0,0.3133047210300429,1.0,55.15987995347664
LATVIA,0.0113,4.78,0.4849785407725321,0.16820512820512823,17.550624725731275
LIECHTENSTEIN,0.007,3.98,0.3004291845493562,0.12717948717948718,8.61326331401841
LITHUANIA,0.0104,3.61,0.4463519313304721,0.1082051282051282,14.144641441740081
LUXEMBOURG,0.0158,3.21,0.6781115879828327,0.0876923076923077,25.681755329460522
MALTA,0.0059,4.45,0.25321888412017163,0.1512820512820513,7.573350453114054
MEXICO,0.0061,12.0,0.26180257510729615,0.5384615384615384,23.394865567233182
MOLDOVA,0.0114,11.38,0.4892703862660944,0.5066666666666667,31.97945383565721
MONACO,0.0066,1.75,0.2832618025751073,0.01282051282051282,6.058736308689101
MONTENEGRO,0.0043,3.2,0.18454935622317595,0.08717948717948719,4.081403785728874
NETHERLANDS,0.0036,3.34,0.15450643776824033,0.09435897435897435,3.443252365264149
NEW ZEALAND,0.0092,3.6,0.3948497854077253,0.1076923076923077,11.872147142796576
NORTH MACEDONIA,0.0011,7.16,0.04721030042918455,0.29025641025641025,6.695363543831833
NORWAY,0.0079,2.28,0.33905579399141633,0.03999999999999999,8.36999503451976
POLAND,0.0028,4.1,0.12017167381974247,0.1333333333333333,3.467993610679026
PORTUGAL,0.0017,2.47,0.07296137339055793,0.04974358974358976,1.0887070864236104
ROMANIA,0.0101,5.65,0.43347639484978534,0.21282051282051284,16.520168937032796
RUSSIA,0.0024,6.33,0.10300429184549355,0.24769230769230768,6.265029518503177
SERBIA,0.0063,4.6,0.27038626609442057,0.15897435897435896,8.354266417649486
SINGAPORE,0.009,1.5,0.3862660944206008,0.0,9.822703957913538
SLOVAKIA,0.0013,5.3,0.05579399141630901,0.19487179487179487,3.840189267104218
SLOVENIA,0.0008,1.5,0.034334763948497854,0.0,0.20435582400175098
SPAIN,0.0012,2.4,0.051502145922746774,0.04615384615384615,0.7427847172352561
SWEDEN,0.0051,2.3,0.21888412017167383,0.04102564102564102,4.320230685173416
SWITZERLAND,0.0078,3.0,0.33476394849785407,0.07692307692307693,8.812942874473716
TAIWAN,0.0003,3.9,0.012875536480686693,0.12307692307692307,1.6341690141919822
TURKEY (TURKIYE),0.0064,18.9,0.27467811158798283,0.8923076923076922,45.64424322609099
UKRAINE,0.0233,9.0,1.0,0.38461538461538464,58.60178017287875
UNITED KINGDOM,0.0049,3.8,0.21030042918454933,0.11794871794871795,5.433365694947852
UNITED STATES,0.0068,5.1,0.2918454935622317,0.1846153846153846,9.826211302731574
VIETNAM,0.0093,14.4,0.3991416309012875,0.6615384615384615,36.22502549745714
